epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1200.71,0.78008,1.10002,1.34503,0.40913,0.27176,0.21832,0.14523,1.63826,3.19784,2.23872,0.000552695,0.000552695,0.000552695
2,2175.88,0.81383,0.97204,1.35443,0.35848,0.30516,0.22094,0.14081,1.55784,2.55406,2.1138,0.00108642,0.00108642,0.00108642
3,3050.23,0.85161,0.9882,1.36595,0.41792,0.25282,0.22035,0.1423,1.71856,2.6657,2.31299,0.00159813,0.00159813,0.00159813
4,3935.42,0.85894,0.98633,1.37959,0.41398,0.25275,0.21027,0.14168,1.75272,3.05059,2.4165,0.00156798,0.00156798,0.00156798
5,4843.56,0.83638,0.94659,1.35965,0.57887,0.24129,0.23615,0.15583,1.59682,2.69448,2.15782,0.00153497,0.00153497,0.00153497
6,5725.29,0.84192,0.95497,1.36816,0.37464,0.26579,0.22428,0.15419,1.71929,2.86855,2.29722,0.00150197,0.00150197,0.00150197
7,6571.46,0.83622,0.95386,1.3638,0.46359,0.25774,0.25865,0.17475,1.58077,2.58802,2.10469,0.00146896,0.00146896,0.00146896
8,7367.47,0.80166,0.91328,1.33419,0.46503,0.24978,0.24088,0.15875,1.65143,2.75969,2.19118,0.00143595,0.00143595,0.00143595
9,8328.31,0.79409,0.89042,1.33311,0.42036,0.23352,0.22461,0.14227,1.6149,2.49035,2.16341,0.00140295,0.00140295,0.00140295
10,10838.6,0.79923,0.89705,1.33194,0.39962,0.26996,0.22886,0.15801,1.651,2.8813,2.16856,0.00136994,0.00136994,0.00136994
11,12077.4,0.80097,0.88719,1.32895,0.42579,0.27084,0.23022,0.15688,1.54612,2.72712,2.10433,0.00133693,0.00133693,0.00133693
12,13298.8,0.77456,0.87624,1.3147,0.4212,0.27935,0.25026,0.16768,1.53994,2.39555,2.03982,0.00130393,0.00130393,0.00130393
13,15183.1,0.78118,0.87532,1.31855,0.43399,0.26378,0.24407,0.16421,1.59236,2.60831,2.1435,0.00127092,0.00127092,0.00127092
14,16396.8,0.75767,0.85325,1.30529,0.39247,0.24212,0.23815,0.16767,1.62054,2.86791,2.16491,0.00123791,0.00123791,0.00123791
15,17434.8,0.76309,0.84457,1.30899,0.35022,0.28597,0.23786,0.1585,1.5994,2.9677,2.18526,0.00120491,0.00120491,0.00120491
16,18206.7,0.74739,0.84007,1.29711,0.44229,0.25446,0.26498,0.1705,1.55049,2.4216,2.09208,0.0011719,0.0011719,0.0011719
